Topic,Count,Name,Representation,Representative_Docs,sent_score
14,88,14_articulado_muitas_diz_ciro,"['articulado', 'muitas', 'diz', 'ciro', 'inteligente', 'verdades', 'ele', 'na', 'que', 'pan']","['RT : 🚨 Na Jovem Pan, Amanda Klein diz que Ciro é inteligente, articulado e que ele “diz muitas verdades”.', 'RT : 🚨 Na Jovem Pan, Amanda Klein diz que Ciro é inteligente, articulado e que ele “diz muitas verdades”.', 'RT : 🚨 Na Jovem Pan, Amanda Klein diz que Ciro é inteligente, articulado e que ele “diz muitas verdades”.']",0.6571329236030579
15,81,15_pertinente_parar_responder_deveria,"['pertinente', 'parar', 'responder', 'deveria', 'mulheres', 'faz', 'jornalistas', 'as', 'pergunta', 'tig']","['RT : ""O presidente deveria parar de responder as jornalistas mulheres"" A Amanda Klein faz uma pergunta pertinente para o p…', 'RT : ""O presidente deveria parar de responder as jornalistas mulheres"" A Amanda Klein faz uma pergunta pertinente para o p…', 'RT : ""O presidente deveria parar de responder as jornalistas mulheres"" A Amanda Klein faz uma pergunta pertinente para o p…']",0.5397325864544621
16,77,16_fim_conversa_mau_caráter,"['fim', 'conversa', 'mau', 'caráter', 'militante', 'comunista', 'comunismo', 'uma', 'comunistas', 'nacionalista']","['RT : Amanda Klein é uma militante comunista mau caráter. Fim de conversa.', 'RT : Amanda Klein é uma militante comunista mau caráter. Fim de conversa.', 'RT : Amanda Klein é uma militante comunista mau caráter. Fim de conversa.']",0.8499088836954786
17,73,17_bandeja_servida_jantada_finalmente,"['bandeja', 'servida', 'jantada', 'finalmente', 'diariamente', 'constantino', 'graeml', 'roberto', 'cristina', 'motta']","['RT : Após ser jantada diariamente por Constantino, Cristina Graeml e Roberto Motta, finalmente Amanda Klein foi servida de bandeja p…', 'RT : Após ser jantada diariamente por Constantino, Cristina Graeml e Roberto Motta, finalmente Amanda Klein foi servida de bandeja p…', 'RT : Após ser jantada diariamente por Constantino, Cristina Graeml e Roberto Motta, finalmente Amanda Klein foi servida de bandeja p…']",0.4715357720851898
18,72,18_embrulham_causam_rodrigues_randolfe,"['embrulham', 'causam', 'rodrigues', 'randolfe', 'neto', 'estômago', 'felipe', 'náuseas', 'fábio', 'meu']","['RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…']",0.40284207463264465
19,72,19_jogado_propósito_salário_recebe,"['jogado', 'propósito', 'salário', 'recebe', 'jp', 'fora', 'ou', 'dinheiro', 'corrente', 'moeda']","['RT : Amanda Klein recebe o salário da JP em moeda corrente ou dinheiro vivo? A propósito, que dinheiro jogado fora JP.', 'RT : Amanda Klein recebe o salário da JP em moeda corrente ou dinheiro vivo? A propósito, que dinheiro jogado fora JP.', 'RT : Amanda Klein recebe o salário da JP em moeda corrente ou dinheiro vivo? A propósito, que dinheiro jogado fora JP.']",0.5751331291264958
20,70,20_embrulham_causam_rodrigues_randolfe,"['embrulham', 'causam', 'rodrigues', 'randolfe', 'neto', 'estômago', 'felipe', 'náuseas', 'fábio', 'meu']","['RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…']",0.40284207463264465
21,69,21_embrulham_causam_rodrigues_randolfe,"['embrulham', 'causam', 'rodrigues', 'randolfe', 'neto', 'estômago', 'felipe', 'náuseas', 'fábio', 'meu']","['RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…']",0.40284207463264465
22,69,22_ninja_kasparov_garry_xadrez,"['ninja', 'kasparov', 'garry', 'xadrez', 'negro', 'verbal', 'sou', 'eu', 'mas', 'no']","['RT : Amanda klein é NINJA no Xadrez verbal mas eu sou o Garry Kasparov NEGRO', 'RT : Amanda klein é NINJA no Xadrez verbal mas eu sou o Garry Kasparov NEGRO', 'RT : Amanda klein é NINJA no Xadrez verbal mas eu sou o Garry Kasparov NEGRO']",0.5958733558654785
23,69,23_defendo_irão_partido_continuar,"['defendo', 'irão', 'partido', 'continuar', 'ação', 'este', 'schelp', 'pt', 'contra', 'essa']","['RT : Com essa ação do PT contra a Jovem Pan; Guga, Piperno, Schelp e Amanda Klein, irão continuar defendo este partido para f…', 'RT : Com essa ação do PT contra a Jovem Pan; Guga, Piperno, Schelp e Amanda Klein, irão continuar defendo este partido para f…', 'RT : Com essa ação do PT contra a Jovem Pan; Guga, Piperno, Schelp e Amanda Klein, irão continuar defendo este partido para f…']",0.5186677687409995
24,69,24_defendo_partido_irão_continuar,"['defendo', 'partido', 'irão', 'continuar', 'ação', 'este', 'schelp', 'pt', 'contra', 'essa']","['RT : Com essa ação do PT contra a Jovem Pan; Guga, Piperno, Schelp e Amanda Klein, irão continuar defendo este partido para f…', 'RT : Com essa ação do PT contra a Jovem Pan; Guga, Piperno, Schelp e Amanda Klein, irão continuar defendo este partido para f…', 'RT : Com essa ação do PT contra a Jovem Pan; Guga, Piperno, Schelp e Amanda Klein, irão continuar defendo este partido para f…']",0.5128704905509949
25,68,25_citado_empresário_parabeniza_valentia,"['citado', 'empresário', 'parabeniza', 'valentia', 'depois', 'contra', 'marido', 'esposa', 'jornalista', 'presidente']","[""RT : Marido de Amanda Klein parabeniza 'valentia' da jornalista contra Bolsonaro. Empresário foi citado depois que presidente…"", ""RT : Marido de Amanda Klein parabeniza 'valentia' da jornalista contra Bolsonaro. Empresário foi citado depois que presidente…"", ""RT : Marido de Amanda Klein parabeniza 'valentia' da jornalista contra Bolsonaro. Empresário foi citado depois que presidente…""]",0.48417038076064167
26,68,26_detonada_bolsonarotemrazao_gostou_parece,"['detonada', 'bolsonarotemrazao', 'gostou', 'parece', 'por', 'ser', 'ao', 'na', 'vivo', 'pan']","['RT : Parece que Amanda Klein não gostou de ser detonada ao vivo por Bolsonaro na Jovem Pan. #BolsonaroTemRazao', 'RT : Parece que Amanda Klein não gostou de ser detonada ao vivo por Bolsonaro na Jovem Pan. #BolsonaroTemRazao', 'RT : Parece que Amanda Klein não gostou de ser detonada ao vivo por Bolsonaro na Jovem Pan. #BolsonaroTemRazao']",0.5869463059832069
27,68,27_15_tendo_minutos_seus,"['15', 'tendo', 'minutos', 'seus', 'vera', 'magalhães', 'está', 'de', 'rt', 'klein']","['RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.', 'RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.', 'RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.']",0.8771054148674011
28,68,28_superior_bonita_querer_cores,"['superior', 'bonita', 'querer', 'cores', 'preço', 'passando', 'logo', 'ver', 'tem', 'vergonha']","['RT : Ver a Amanda Klein passando vergonha ao vivo e a cores logo de manhã, não tem preço. A ""bonita"" foi querer ser superior de…', 'RT : Ver a Amanda Klein passando vergonha ao vivo e a cores logo de manhã, não tem preço. A ""bonita"" foi querer ser superior de…', 'RT : Ver a Amanda Klein passando vergonha ao vivo e a cores logo de manhã, não tem preço. A ""bonita"" foi querer ser superior de…']",0.5566566586494446
29,68,29_fez_atenção_oposição_público,"['fez', 'atenção', 'oposição', 'público', 'debate', 'pergunta', 'presidente', 'no', 'não', 'para']","['RT : Atenção: Amanda Klein fez a pergunta que a oposição não fez no debate e para o público da Jovem Pan. O presidente não g…', 'RT : Atenção: Amanda Klein fez a pergunta que a oposição não fez no debate e para o público da Jovem Pan. O presidente não g…', 'RT : Atenção: Amanda Klein fez a pergunta que a oposição não fez no debate e para o público da Jovem Pan. O presidente não g…']",0.7489371299743652
30,67,30_negócios_detona_sr_melhor,"['negócios', 'detona', 'sr', 'melhor', 'sua', 'pode', 'explicar', 'família', 'os', 'bolsonaro']","['RT : BOLSONARO DETONA AMANDA KLEIN AO VIVO AMANDA: O Sr. pode explicar melhor os negócios da sua família. BOLSONARO:Amanda,…', 'RT : BOLSONARO DETONA AMANDA KLEIN AO VIVO AMANDA: O Sr. pode explicar melhor os negócios da sua família. BOLSONARO:Amanda,…', 'RT : BOLSONARO DETONA AMANDA KLEIN AO VIVO AMANDA: O Sr. pode explicar melhor os negócios da sua família. BOLSONARO:Amanda,…']",0.46920499961767625
31,67,31_15_tendo_minutos_seus,"['15', 'tendo', 'minutos', 'seus', 'vera', 'magalhães', 'está', 'de', 'rt', 'klein']","['RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.', 'RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.', 'RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.']",0.8771054148674011
32,67,32_colocando_devido_lugar_nunes,"['colocando', 'devido', 'lugar', 'nunes', 'augusto', 'seu', 'no', 'rt', 'klein', 'amanda']","['RT : Augusto Nunes colocando a Amanda Klein no seu devido lugar.', 'RT : Augusto Nunes colocando a Amanda Klein no seu devido lugar.', 'RT : Augusto Nunes colocando a Amanda Klein no seu devido lugar.']",0.5699176788330078
33,67,33_esquerdista_ideológica_armadilha_caindo,"['esquerdista', 'ideológica', 'armadilha', 'caindo', 'débil', 'chego', 'mental', 'ruim', 'acreditar', 'própria']","['RT : Amanda Klein caindo na própria armadilha ideológica esquerdista. Parabéns', 'RT : Amanda Klein caindo na própria armadilha ideológica esquerdista. Parabéns', 'RT : Amanda Klein caindo na própria armadilha ideológica esquerdista. Parabéns']",0.7645192693418531
34,66,34_detonada_bolsonarotemrazao_gostou_parece,"['detonada', 'bolsonarotemrazao', 'gostou', 'parece', 'por', 'ser', 'ao', 'na', 'vivo', 'pan']","['RT : Parece que Amanda Klein não gostou de ser detonada ao vivo por Bolsonaro na Jovem Pan. #BolsonaroTemRazao', 'RT : Parece que Amanda Klein não gostou de ser detonada ao vivo por Bolsonaro na Jovem Pan. #BolsonaroTemRazao', 'RT : Parece que Amanda Klein não gostou de ser detonada ao vivo por Bolsonaro na Jovem Pan. #BolsonaroTemRazao']",0.584145471905217
35,66,35_enquadrada_indignar_irritar_amei,"['enquadrada', 'indignar', 'irritar', 'amei', 'melhores', 'especialistas', 'tal', 'povo', 'maria', 'das']","['RT : Essa tal Amanda Klein é uma das melhores ESPECIALISTAS EM IRRITAR E INDIGNAR o povo . Amei a “ enquadrada” do Zé Maria … t…', 'RT : Essa tal Amanda Klein é uma das melhores ESPECIALISTAS EM IRRITAR E INDIGNAR o povo . Amei a “ enquadrada” do Zé Maria … t…', 'RT : Essa tal Amanda Klein é uma das melhores ESPECIALISTAS EM IRRITAR E INDIGNAR o povo . Amei a “ enquadrada” do Zé Maria … t…']",0.8529175903761026
36,66,36_constituição_revisor_últim_alterando,"['constituição', 'revisor', 'últim', 'alterando', 'senado', 'caralho', 'baita', 'começou', 'lembrando', '5tf']","['RT : Amanda Klein começou bem o dia alterando a constituição, disse: O senado não é revisor do 5tf, pela constituição, a ""últim…', 'RT : Amanda Klein começou bem o dia alterando a constituição, disse: O senado não é revisor do 5tf, pela constituição, a ""últim…', 'RT : Amanda Klein começou bem o dia alterando a constituição, disse: O senado não é revisor do 5tf, pela constituição, a ""últim…']",0.686647459413066
37,66,37_embrulham_causam_rodrigues_randolfe,"['embrulham', 'causam', 'rodrigues', 'randolfe', 'neto', 'estômago', 'felipe', 'náuseas', 'fábio', 'meu']","['RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…']",0.40284207463264465
38,66,38_negócios_detona_sr_melhor,"['negócios', 'detona', 'sr', 'melhor', 'sua', 'pode', 'explicar', 'família', 'os', 'bolsonaro']","['RT : BOLSONARO DETONA AMANDA KLEIN AO VIVO AMANDA: O Sr. pode explicar melhor os negócios da sua família. BOLSONARO:Amanda,…', 'RT : BOLSONARO DETONA AMANDA KLEIN AO VIVO AMANDA: O Sr. pode explicar melhor os negócios da sua família. BOLSONARO:Amanda,…', 'RT : BOLSONARO DETONA AMANDA KLEIN AO VIVO AMANDA: O Sr. pode explicar melhor os negócios da sua família. BOLSONARO:Amanda,…']",0.4694810211658478
39,66,39_jantando_hora_diria_dito,"['jantando', 'hora', 'diria', 'dito', 'aproveitou', 'cedo', 'verba', 'essa', 'jantou', 'bem']","['RT : A essa hora da manhã e Bolsonaro jantando a Amanda Klein!', 'RT : A essa hora da manhã e Bolsonaro jantando a Amanda Klein!', 'RT : A essa hora da manhã e Bolsonaro jantando a Amanda Klein!']",0.5725921618215966
40,66,40_15_tendo_minutos_seus,"['15', 'tendo', 'minutos', 'seus', 'vera', 'magalhães', 'está', 'de', 'rt', 'klein']","['RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.', 'RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.', 'RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.']",0.8771054148674011
41,65,41_superior_bonita_querer_cores,"['superior', 'bonita', 'querer', 'cores', 'preço', 'passando', 'logo', 'ver', 'tem', 'vergonha']","['RT : Ver a Amanda Klein passando vergonha ao vivo e a cores logo de manhã, não tem preço. A ""bonita"" foi querer ser superior de…', 'RT : Ver a Amanda Klein passando vergonha ao vivo e a cores logo de manhã, não tem preço. A ""bonita"" foi querer ser superior de…', 'RT : Ver a Amanda Klein passando vergonha ao vivo e a cores logo de manhã, não tem preço. A ""bonita"" foi querer ser superior de…']",0.5566566586494446
42,65,42_15_tendo_minutos_seus,"['15', 'tendo', 'minutos', 'seus', 'vera', 'magalhães', 'está', 'de', 'rt', 'klein']","['RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.', 'RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.', 'RT : Amanda Klein está tendo seus 15 minutos de Vera Magalhães.']",0.8771054148674011
43,65,43_alltv_trabalhei_primórdios_webtv,"['alltv', 'trabalhei', 'primórdios', 'webtv', 'firmeza', 'homens', 'muitos', 'mostrou', 'coragem', 'nos']","['RT : Amanda Klein, com quem trabalhei nos primórdios da webtv, a Alltv, mostrou uma firmeza e coragem que muitos homens que…', 'RT : Amanda Klein, com quem trabalhei nos primórdios da webtv, a Alltv, mostrou uma firmeza e coragem que muitos homens que…', 'RT : Amanda Klein, com quem trabalhei nos primórdios da webtv, a Alltv, mostrou uma firmeza e coragem que muitos homens que…']",0.740131153510167
44,65,44_superior_bonita_querer_cores,"['superior', 'bonita', 'querer', 'cores', 'preço', 'passando', 'logo', 'ver', 'tem', 'vergonha']","['RT : Ver a Amanda Klein passando vergonha ao vivo e a cores logo de manhã, não tem preço. A ""bonita"" foi querer ser superior de…', 'RT : Ver a Amanda Klein passando vergonha ao vivo e a cores logo de manhã, não tem preço. A ""bonita"" foi querer ser superior de…', 'RT : Ver a Amanda Klein passando vergonha ao vivo e a cores logo de manhã, não tem preço. A ""bonita"" foi querer ser superior de…']",0.5566566586494446
45,65,45_concreta_asfalta_novo_passa,"['concreta', 'asfalta', 'novo', 'passa', 'ex', 'ministro', 'tarcísio', 'cara', 'vergonha', 'rabelo']","['RT : Ex ministro Tarcísio concreta e asfalta a cara de Amanda Klein q passa vergonha de novo!', 'RT : Ex ministro Tarcísio concreta e asfalta a cara de Amanda Klein q passa vergonha de novo!', 'RT : Ex ministro Tarcísio concreta e asfalta a cara de Amanda Klein q passa vergonha de novo!']",0.8150844871997833
46,65,46_revelar_estup_audiência_programa,"['revelar', 'estup', 'audiência', 'programa', 'shelp', 'fazer', 'deve', 'vai', 'diogo', 'guga']","['RT : A Jovem Pan deve fazer um programa 3 a 0 com o Diogo Shelp, a Amanda Klein e o Guga Noblat. A audiência vai revelar a estup…', 'RT : A Jovem Pan deve fazer um programa 3 a 0 com o Diogo Shelp, a Amanda Klein e o Guga Noblat. A audiência vai revelar a estup…', 'RT : A Jovem Pan deve fazer um programa 3 a 0 com o Diogo Shelp, a Amanda Klein e o Guga Noblat. A audiência vai revelar a estup…']",0.7953376320692209
47,65,47_agradecimento_especial_estadão_cnn,"['agradecimento', 'especial', 'estadão', 'cnn', 'aos', 'uol', 'folha', 'globo', 'mônica', 'bergamo']","['RT : Um agradecimento aos jornalistas da Globo, Folha, Estadão, UOL, CNN e em especial a Vera Magalhães, Mônica Bergamo, A…', 'RT : Um agradecimento aos jornalistas da Globo, Folha, Estadão, UOL, CNN e em especial a Vera Magalhães, Mônica Bergamo, A…', 'RT : Um agradecimento aos jornalistas da Globo, Folha, Estadão, UOL, CNN e em especial a Vera Magalhães, Mônica Bergamo, A…']",0.7388883829116821
48,64,48_colocando_devido_lugar_nunes,"['colocando', 'devido', 'lugar', 'nunes', 'augusto', 'seu', 'no', 'rt', 'klein', 'amanda']","['RT : Augusto Nunes colocando a Amanda Klein no seu devido lugar.', 'RT : Augusto Nunes colocando a Amanda Klein no seu devido lugar.', 'RT : Augusto Nunes colocando a Amanda Klein no seu devido lugar.']",0.5699176788330078
49,64,49_embrulham_causam_rodrigues_randolfe,"['embrulham', 'causam', 'rodrigues', 'randolfe', 'neto', 'estômago', 'felipe', 'náuseas', 'fábio', 'meu']","['RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…', 'RT : Vozes que me causam náuseas e embrulham o meu estômago: - Felipe Neto - Lula - Fábio Piperno - Randolfe Rodrigues - Amanda K…']",0.40284207463264465
50,64,50_questio_partiu_mulheres_assim,"['questio', 'partiu', 'mulheres', 'assim', 'vez', 'cima', 'sempre', 'dessa', 'odeia', 'tosco']","['RT : Bolsonaro como sempre ataca jornalistas mulheres, dessa vez partiu pra cima de Amanda Klein, é sempre assim quando questio…', 'RT : Bolsonaro como sempre ataca jornalistas mulheres, dessa vez partiu pra cima de Amanda Klein, é sempre assim quando questio…', 'RT : Bolsonaro como sempre ataca jornalistas mulheres, dessa vez partiu pra cima de Amanda Klein, é sempre assim quando questio…']",0.8540117228403687
51,64,51_esplendor_barba_gugaenergumeno_bolsonararista,"['esplendor', 'barba', 'gugaenergumeno', 'bolsonararista', 'roupa', 'garoto', 'vestiu', 'twitter', 'calças', 'pergunto']","['RT : Amanda Klein no seu esplendor...', 'RT : Amanda Klein no seu esplendor...', 'RT : Amanda Klein no seu esplendor...']",0.6739254761487246
