Topic,Count,Name,Representation,Representative_Docs,tweets_count
22,203,22_Sabatina no jovem pan,['Sabatina no jovem pan'],"['durante sabatina jovem pan ha pouco jornalista amanda klein so perguntou brasil saber orig', 'durante sabatina jovem pan ha pouco jornalista amanda klein so perguntou brasil saber orig', 'durante sabatina jovem pan ha pouco jornalista amanda klein so perguntou brasil saber orig']",203.0
23,189,23_Discussion on divergent opinions,['Discussion on divergent opinions'],"['piperno guga noblat amanda klein nao sao apenas vozes divergentes ouvi los nao ouvir contraponto u', 'piperno guga noblat amanda klein nao sao apenas vozes divergentes ouvi los nao ouvir contraponto u', 'piperno guga noblat amanda klein nao sao apenas vozes divergentes ouvi los nao ouvir contraponto u']",189.0
24,181,24_Feminine representation in politics,['Feminine representation in politics'],"['presidente deveria parar responder jornalistas mulheres amanda klein pergunta pertinente p', 'presidente deveria parar responder jornalistas mulheres amanda klein pergunta pertinente p', 'presidente deveria parar responder jornalistas mulheres amanda klein pergunta pertinente p']",181.0
25,180,25_Amanda Klein's Wikipedia and media presence,"[""Amanda Klein's Wikipedia and media presence""]","['amanda klein trabalhei primordios webtv alltv mostrou firmeza coragem homens', 'amanda klein trabalhei primordios webtv alltv mostrou firmeza coragem homens', 'amanda klein trabalhei primordios webtv alltv mostrou firmeza coragem homens']",180.0
26,174,26_President's performance overview,"[""President's performance overview""]","['presidente simplesmente deu show sabatina passou recado falou realiza', 'presidente simplesmente deu show sabatina passou recado falou realiza', 'presidente simplesmente deu show sabatina passou recado falou realiza']",174.0
27,161,27_Brazilian political humor,['Brazilian political humor'],"['amanda klein kkkkk', 'kd amanda klein kkkkk', 'prima amanda klein kkkkk']",161.0
28,153,28_Nostalgic reflections on meals,['Nostalgic reflections on meals'],"['saudades tempo jantava amanda klein manha ricardo salles refeicao leve jantou tabata ama', 'saudades tempo jantava amanda klein manha ricardo salles refeicao leve jantou tabata ama', 'saudades tempo jantava amanda klein manha ricardo salles refeicao leve jantou tabata ama']",153.0
29,150,29_Unintelligible Texts,['Unintelligible Texts'],"['apos jantada diariamente constantino cristina graeml roberto motta finalmente amanda klein servida bandeja p', 'apos jantada diariamente constantino cristina graeml roberto motta finalmente amanda klein servida bandeja p', 'apos jantada diariamente constantino cristina graeml roberto motta finalmente amanda klein servida bandeja p']",150.0
30,145,30_Confusing discourse about money,['Confusing discourse about money'],"['discurso ah ma amanda klein confunde moeda corrente dinheiro vivo realidade', 'discurso ah ma amanda klein confunde moeda corrente dinheiro vivo realidade', 'discurso ah ma amanda klein confunde moeda corrente dinheiro vivo realidade']",145.0
31,145,31_Unknown topic (Possibly gibberish or code),['Unknown topic (Possibly gibberish or code)'],"['ex ministro tarcisio concreta asfalta cara amanda klein q passa vergonha novo t vfoupgpyoo', 'ex ministro tarcisio concreta asfalta cara amanda klein q passa vergonha novo t vfoupgpyoo', 'ex ministro tarcisio concreta asfalta cara amanda klein q passa vergonha novo t vfoupgpyoo']",145.0
32,136,32_Competência e profissionalismo no jornalismo,['Competência e profissionalismo no jornalismo'],"['meio varios jornalistas amanda klein consegue sobressair nao competencia profissionalismo ma pel', 'meio varios jornalistas amanda klein consegue sobressair nao competencia profissionalismo ma pel', 'meio varios jornalistas amanda klein consegue sobressair nao competencia profissionalismo ma pel']",136.0
33,107,33_Unknown or irrelevant content,['Unknown or irrelevant content'],"['gente relembra atacou jornalistas t x ja oky', 'gente relembra atacou jornalistas t x ja oky', 'gente relembra atacou jornalistas t x ja oky']",107.0
34,88,34_Jornal Manhã commentary,['Jornal Manhã commentary'],"['comeco mais participacao jornal manha bancada amanda klein', 'comeco mais participacao jornal manha bancada amanda klein', 'comeco mais participacao jornal manha bancada amanda klein']",88.0
35,88,35_Unknown,['Unknown'],"['jovem pan amanda klein ciro inteligente articulado verdades t jwptoih', 'jovem pan amanda klein ciro inteligente articulado verdades t jwptoih', 'jovem pan amanda klein ciro inteligente articulado verdades t jwptoih']",88.0
36,87,36_Comentários sobre imagens da Jovem Pan,['Comentários sobre imagens da Jovem Pan'],"['imagens lindas mostradas jovem pan estragadas comentarios negativos levianos amanda klein lamentave', 'imagens lindas mostradas jovem pan estragadas comentarios negativos levianos amanda klein lamentave', 'imagens lindas mostradas jovem pan estragadas comentarios negativos levianos amanda klein lamentave']",87.0
37,87,37_Unintelligible text communication,['Unintelligible text communication'],"['cirao mandou real ate amanda louca klein aceitar briguem briguem briguem t chv', 'cirao mandou real ate amanda louca klein aceitar briguem briguem briguem t chv', 'cirao mandou real ate amanda louca klein aceitar briguem briguem briguem t chv']",87.0
38,83,38_Unknown or nonsensical texts,['Unknown or nonsensical texts'],"['guga noblat diogo schelp amanda klein caras jogam contra proprio empregador caras bebem arrotam es', 'guga noblat diogo schelp amanda klein caras jogam contra proprio empregador caras bebem arrotam es', 'guga noblat diogo schelp amanda klein caras jogam contra proprio empregador caras bebem arrotam es']",83.0
39,82,39_Musical performance of Amanda Klein,['Musical performance of Amanda Klein'],"['amanda klein ataca voz aveludada ma recebeu volta alto bom tom', 'amanda klein ataca voz aveludada ma recebeu volta alto bom tom', 'amanda klein ataca voz aveludada ma recebeu volta alto bom tom']",82.0
40,82,40_Controversial past of a politician,['Controversial past of a politician'],"['bozo irritou amanda klein nao deu nenhuma explicacao imoveis comprados dinheiro vivo alguem saberia lavagem dinheiro ocultacao patrimonio', 'bozo irritou amanda klein nao deu nenhuma explicacao imoveis comprados dinheiro vivo alguem saberia lavagem dinheiro ocultacao patrimonio', 'bozo irritou amanda klein nao deu nenhuma explicacao imoveis comprados dinheiro vivo alguem saberia lavagem dinheiro ocultacao patrimonio']",82.0
41,74,41_Repeated phrases in a text,['Repeated phrases in a text'],"['mito amanda klein pequenininha inha inha manha nao preco', 'mito amanda klein pequenininha inha inha manha nao preco', 'mito amanda klein pequenininha inha inha manha nao preco']",74.0
42,67,42_Unknown,['Unknown'],"['deveria edicao especial pingos is schelp piperno guga noblat filipe pe', 'deveria edicao especial pingos is schelp piperno guga noblat filipe pe', 'deveria edicao especial pingos is schelp piperno guga noblat filipe pe']",67.0
43,65,43_Erros e desculpas de Amanda Klein,['Erros e desculpas de Amanda Klein'],"['amanda klein nao dormir tentando arranjar desculpa erros pesquisas negou veementemente', 'amanda klein nao dormir tentando arranjar desculpa erros pesquisas negou veementemente', 'amanda klein nao dormir tentando arranjar desculpa erros pesquisas negou veementemente']",65.0
44,59,44_Brazilian media discussion,['Brazilian media discussion'],"['xandao tse calando brasil paralelo jovem pan retirada zoe martinez bancada morning sh', 'xandao tse calando brasil paralelo jovem pan retirada zoe martinez bancada morning sh', 'xandao tse calando brasil paralelo jovem pan retirada zoe martinez bancada morning sh']",59.0
45,58,45_Brazilian internet memes,['Brazilian internet memes'],"['amanda klein melhores especialistas irritar indignar povo amei enquadrada ze maria t', 'amanda klein melhores especialistas irritar indignar povo amei enquadrada ze maria t', 'amanda klein melhores especialistas irritar indignar povo amei enquadrada ze maria t']",58.0
46,55,46_Amanda Klein's embarrassing moments,"[""Amanda Klein's embarrassing moments""]","['amanda klein conseguiu passa vergonha manha tarde noite util finais semana feriado', 'amanda klein conseguiu passa vergonha manha tarde noite util finais semana feriado', 'amanda klein conseguiu passa vergonha manha tarde noite util finais semana feriado']",55.0
47,54,47_Emoções e desconforto relacionadas a Amanda Klein,['Emoções e desconforto relacionadas a Amanda Klein'],"['mais sente nausea ansia vomito escuta amanda klein comentar qualquer', 'mais sente nausea ansia vomito escuta amanda klein comentar qualquer', 'mais sente nausea ansia vomito escuta amanda klein comentar qualquer']",54.0
48,53,48_Unintelligible or non-meaningful texts,['Unintelligible or non-meaningful texts'],"['nem marcio franca camera policiais amanda klein levar invertida esquerda direita htt', 'nem marcio franca camera policiais amanda klein levar invertida esquerda direita htt', 'nem marcio franca camera policiais amanda klein levar invertida esquerda direita htt']",53.0
49,48,49_Political dissent against dictatorship,['Political dissent against dictatorship'],"['ninguem aguenta mais viver ditadura toga pedido hj kornal manha ouvir amanda klein in', 'ninguem aguenta mais viver ditadura toga pedido hj kornal manha ouvir amanda klein in', 'ninguem aguenta mais viver ditadura toga pedido hj kornal manha ouvir amanda klein in']",48.0
50,48,50_Social Media Reactions to Political Figures,['Social Media Reactions to Political Figures'],"['amanda klein q pode falar vida particular bolsonaro pq publico voce tambem jornalistas comentaristas t', 'amanda klein q pode falar vida particular bolsonaro pq publico voce tambem jornalistas comentaristas t', 'amanda klein q pode falar vida particular bolsonaro pq publico voce tambem jornalistas comentaristas t']",48.0
51,46,51_Brazilian political discourse,['Brazilian political discourse'],"['bom bolsonaristas amanda klein chorando palavras presidente parab', 'bom bolsonaristas amanda klein chorando palavras presidente parab', 'bom bolsonaristas amanda klein chorando palavras presidente parab']",46.0
52,41,52_Brazilian Political Discourse,['Brazilian Political Discourse'],"['aecio chamou dilma leviana debate derreteu bozo chamou amanda klein leviana sentido mulher', 'aecio chamou dilma leviana debate derreteu bozo chamou amanda klein leviana sentido mulher', 'aecio chamou dilma leviana debate derreteu bozo chamou amanda klein leviana sentido mulher']",41.0
53,39,53_Participação de Colunistas nas Eleições,['Participação de Colunistas nas Eleições'],"['colunista uol thai oyama durante participacao radar eleicoes presidente jair bolsona', 'colunista uol thai oyama durante participacao radar eleicoes presidente jair bolsona', 'colunista uol thai oyama durante participacao radar eleicoes presidente jair bolsona']",39.0
54,38,54_Unknown,['Unknown'],"['dra deolane comemorar oturno bolsonaro chiquilento jovem pan', 'dra deolane comemorar oturno bolsonaro chiquilento jovem pan', 'dra deolane comemorar oturno bolsonaro chiquilento jovem pan']",38.0
55,37,55_Mensagens motivacionais em português,['Mensagens motivacionais em português'],"['nunca desista sonho lembre amanda klein guga noblat estao jp conseguiram voce conse', 'nunca desista sonho lembre amanda klein guga noblat estao jp conseguiram voce conse', 'nunca desista sonho lembre amanda klein guga noblat estao jp conseguiram voce conse']",37.0
56,35,56_Contenidos Revista,['Contenidos Revista'],"['dijimos semana pasada empezamos liberar los contenidos revista en nuestra web hoy dejamos con', 'dijimos semana pasada empezamos liberar los contenidos revista en nuestra web hoy dejamos con', 'dijimos semana pasada empezamos liberar los contenidos revista en nuestra web hoy dejamos con']",35.0
57,34,57_Political controversies in Brazil,['Political controversies in Brazil'],"['amanda klein presidente origem recursos imoveis pagos dinheiro jair marido vota', 'amanda klein presidente origem recursos imoveis pagos dinheiro jair marido vota', 'amanda klein presidente origem recursos imoveis pagos dinheiro jair marido vota']",34.0
58,33,58_Discurso e Narrativas de Esquerda,['Discurso e Narrativas de Esquerda'],"['esquerdistas mesmas narrativas q estao expostas programas pingos is impor', 'esquerdistas mesmas narrativas q estao expostas programas pingos is impor', 'esquerdistas mesmas narrativas q estao expostas programas pingos is impor']",33.0
